schwarz::A
itl	12
ron	25
oss	3
mns	9
ita	25
nld	3
mnc	4
ell	17
hrv	5
ady	3
ess	45
hin	7
fin	2
eus	35
kmr	24
ale	40
kca	10
dan	22
ces	5
dar	48
nor	3
pbu	5
cmn	6
hye	26
kpv	22
mhr	37
bak	4
tel	19
mdf	14
olo	2
arb	3
sel	42
ykg	5
abk	18
sms	16
pes	7
smn	16
ddo	4
smj	16
sme	28
evn	20
sma	28
tur	4
rus	5
lez	11
ket	2
yux	21
ekk	2
vep	2
gld	4
gle	29
krl	2
isl	3
sjd	28
uzn	4
kat	26
por	10
pol	5
bre	1
koi	22
fra	39
yrk	8
che	14
swe	3
ukr	5
xal	4
heb	23
kor	41
chv	4
hun	44
bul	5
bua	4
cym	1
udm	22
azj	4
ben	12
bel	5
slv	5
deu	3
cat	25
ain	41
slk	5
tat	4
sah	4
jpn	4
myv	14
khk	4
lbe	31
spa	25
tam	34
ava	13
enf	36
eng	47
lit	32
liv	2
nio	33
kan	43
kal	38
sqi	46
bsk	2
lat	25
kaz	4
lav	15
niv	27
mal	4
ckt	30
mrj	26
