schwenken::V
ron	13
oss	5
mns	37
ita	13
nld	21
mnc	19
vep	33
hrv	3
ady	11
nor	11
fin	10
eus	42
smj	30
ale	54
kca	3
dan	11
ces	3
dar	34
hin	41
pbu	21
cmn	44
hye	6
kpv	45
ykg	36
mhr	20
bak	40
tel	19
mdf	35
olo	10
arb	52
sel	26
ess	5
abk	24
sms	10
pes	25
smn	10
kmr	25
sme	12
evn	2
sma	27
tur	50
rus	3
lez	10
ket	1
yux	49
ekk	15
ell	41
gld	36
gle	7
krl	10
isl	11
sjd	3
uzn	31
bsk	39
por	13
pol	3
koi	51
fra	13
yrk	35
che	53
swe	11
ukr	3
xal	5
heb	46
kor	5
chv	48
hun	47
bul	3
bua	5
cym	48
udm	45
azj	50
ben	5
bel	3
slv	9
deu	11
cat	13
ain	14
slk	3
tat	40
sah	1
jpn	4
myv	35
khk	5
lbe	10
tam	43
spa	22
ava	18
enf	29
eng	11
lit	3
liv	21
nio	1
kan	28
kal	32
sqi	21
kat	38
lat	16
kaz	40
lav	8
mal	28
ckt	7
mrj	23
