schwingen::V
ron	29
oss	49
mns	38
ita	2
nld	29
mnc	10
ell	61
hrv	6
ady	27
hin	12
fin	58
eus	5
kmr	59
ale	5
kca	6
dan	31
ces	4
dar	28
nor	31
pbu	20
cmn	18
hye	42
kpv	35
mhr	39
bak	11
tel	10
mdf	19
olo	12
arb	55
sel	3
ykg	18
abk	41
sms	12
pes	67
smn	12
ddo	13
smj	4
sma	32
tur	6
rus	4
lez	66
yux	57
ekk	31
vep	52
gld	10
gle	9
krl	3
isl	30
sjd	17
uzn	62
por	29
pol	68
bre	34
koi	14
fra	2
yrk	9
che	24
swe	31
ukr	36
xal	1
heb	12
kor	53
chv	40
hun	16
bul	26
bua	64
cym	2
udm	49
azj	16
ben	53
bel	36
slv	48
deu	31
cat	2
ain	54
slk	36
tat	21
sah	46
jpn	45
myv	19
khk	50
lbe	51
tam	10
spa	2
ava	22
enf	60
eng	31
lit	43
liv	16
nio	8
kan	10
kal	44
sqi	69
kat	4
lat	29
kaz	21
lav	36
mal	10
ckt	33
mrj	7
