schützen::V
ron	30
oss	5
ale	4
ita	30
nld	8
mnc	9
ell	30
hrv	22
ady	13
ess	58
hin	44
fin	11
eus	8
kmr	39
mns	49
kca	6
dan	8
ces	12
nor	8
pbu	43
cmn	26
hye	3
evn	52
mhr	32
bak	34
tel	29
mdf	32
olo	11
arb	13
sel	41
ykg	22
abk	7
sms	11
pes	15
smn	23
ddo	21
smj	11
sme	24
sma	23
tur	40
kpv	31
rus	33
lez	50
yux	48
ekk	2
vep	2
gle	2
krl	11
isl	31
sjd	55
uzn	14
bsk	46
por	30
pol	12
bre	42
koi	51
fra	30
yrk	4
che	28
swe	8
ukr	33
xal	32
chv	11
kor	33
heb	37
hun	56
bul	27
bua	32
cym	16
udm	45
azj	40
ben	44
bel	33
slv	6
deu	8
cat	30
ain	17
slk	12
tat	34
sah	2
jpn	53
myv	58
khk	35
lbe	57
tam	1
spa	30
ava	21
enf	20
eng	30
lit	17
liv	2
nio	54
kan	29
kal	33
sqi	18
kat	25
lat	6
kaz	34
lav	10
mal	47
ckt	12
mrj	30
