sichanziehen::V
ron	2
oss	38
mns	53
ita	14
nld	24
mnc	11
ell	43
hrv	3
ady	52
nor	27
fin	26
eus	20
smj	56
ale	59
kca	47
dan	27
ces	3
dar	32
hin	37
pbu	39
cmn	20
hye	35
kpv	31
mhr	23
bak	1
tel	4
mdf	34
olo	45
arb	21
sel	16
ykg	61
abk	60
sms	55
pes	54
smn	56
ddo	6
kmr	58
sme	10
evn	15
sma	10
tur	1
rus	8
lez	22
ket	30
yux	15
ekk	7
vep	57
gle	46
krl	6
isl	39
sjd	42
uzn	1
kat	34
por	14
pol	3
bre	17
koi	31
fra	33
yrk	13
che	62
swe	27
ukr	8
xal	18
heb	19
chv	5
hun	36
bul	3
bua	64
cym	17
udm	38
azj	1
ben	12
bel	8
slv	3
deu	20
cat	14
ain	15
slk	3
tat	1
sah	5
jpn	1
myv	34
khk	18
lbe	40
tam	44
spa	14
ava	28
enf	13
eng	25
lit	50
liv	29
nio	13
kan	41
kal	48
sqi	9
bsk	25
lat	14
kaz	1
lav	51
mal	63
ckt	49
mrj	23
