sicherheben::V
ron	31
oss	2
ale	11
ita	53
nld	27
mnc	22
vep	8
hrv	35
ady	10
hin	2
fin	8
eus	2
kmr	10
mns	14
dan	34
ces	12
dar	5
nor	34
pbu	7
cmn	52
hye	27
kpv	2
mhr	9
bak	15
tel	6
mdf	20
olo	8
arb	40
sel	24
ess	29
abk	4
sms	19
pes	1
smn	48
ddo	27
smj	48
sme	48
evn	23
sma	42
tur	4
rus	13
lez	10
ekk	4
ell	8
gld	54
gle	50
krl	8
isl	2
sjd	19
uzn	40
kat	38
por	41
pol	35
kaz	15
bre	32
koi	2
fra	32
yrk	18
che	55
swe	34
ukr	13
xal	28
chv	15
kor	51
heb	40
hun	45
bul	2
bua	28
cym	47
udm	2
azj	4
ben	2
bel	8
slv	12
deu	55
cat	49
ain	5
slk	12
tat	28
sah	15
jpn	4
myv	5
khk	28
lbe	27
tam	17
spa	41
ava	16
enf	8
eng	2
lit	37
liv	8
nio	41
kan	43
sqi	30
bsk	3
lat	44
ykg	46
lav	36
niv	25
mal	21
ckt	39
mrj	9
