sichtrennen::V
ron	7
oss	51
ale	24
ita	7
nld	31
mnc	57
vep	1
hrv	4
ady	35
hin	54
fin	1
eus	25
kmr	47
mns	56
kca	43
dan	19
ces	4
dar	44
nor	19
pbu	3
cmn	53
hye	26
evn	23
ykg	41
mhr	9
bak	9
tel	59
mdf	28
olo	1
arb	39
sel	30
ess	16
abk	40
sms	5
pes	27
smn	5
smj	1
sme	32
sma	62
tur	9
kpv	10
rus	22
lez	11
yux	29
ekk	17
ell	33
gle	2
krl	1
isl	19
sjd	1
uzn	60
bsk	52
por	7
pol	22
bre	7
koi	10
fra	7
yrk	8
che	18
swe	19
ukr	4
xal	13
heb	48
kor	1
chv	9
hun	61
bul	4
bua	13
cym	54
udm	50
azj	9
ben	55
bel	22
slv	4
deu	12
cat	7
ain	42
slk	4
tat	46
sah	6
jpn	49
myv	28
khk	24
lbe	62
spa	7
tam	36
ava	14
enf	8
eng	7
lit	2
liv	34
nio	9
kan	15
kal	58
sqi	20
kat	38
lat	21
kaz	9
lav	2
mal	37
mrj	9
