sitzen::V
itl	45
ron	1
oss	23
mns	15
ita	1
nld	1
mnc	31
vep	2
hrv	1
ady	3
ess	39
nor	1
fin	2
eus	6
kmr	6
ale	17
kca	16
dan	1
ces	1
dar	19
hin	23
pbu	11
cmn	2
hye	11
kpv	9
mhr	21
bak	35
tel	35
mdf	14
olo	2
arb	7
sel	30
ykg	24
abk	4
sms	2
pes	6
smn	22
smj	22
sme	22
evn	48
sma	22
tur	10
rus	1
lez	2
ket	26
yux	16
ekk	2
ell	33
gld	4
gle	1
krl	2
isl	1
sjd	2
uzn	10
kat	1
por	5
pol	1
bre	46
koi	9
fra	36
yrk	16
che	28
swe	1
ukr	1
xal	13
chv	41
kor	20
heb	44
hun	42
bul	1
bua	13
cym	2
udm	9
azj	10
ben	29
bel	1
slv	1
deu	1
cat	1
ain	37
slk	1
tat	35
sah	41
jpn	8
myv	14
khk	13
lbe	47
tam	35
spa	5
ava	48
enf	27
eng	1
lit	1
liv	2
nio	16
kan	35
kal	25
sqi	18
bsk	32
lat	1
kaz	35
lav	1
niv	12
mal	38
ckt	40
mrj	21
