stören::V
itl	60
ron	49
oss	54
ale	7
ita	56
nld	31
mnc	38
ell	64
hrv	15
ady	51
hin	30
fin	27
eus	12
kmr	54
mns	10
kca	10
dan	31
ces	19
nor	31
hye	10
pbu	32
cmn	23
evn	37
kpv	48
mhr	7
bak	17
tel	8
mdf	20
olo	22
arb	55
sel	1
ykg	45
abk	16
sms	40
pes	44
smn	25
ddo	42
smj	15
sme	25
sma	27
tur	52
rus	7
lez	41
yux	7
ekk	39
vep	65
gld	33
gle	21
krl	27
isl	29
sjd	19
uzn	2
por	56
pol	14
bre	10
koi	24
fra	49
yrk	13
che	18
swe	31
ukr	14
xal	57
chv	3
kor	65
heb	28
hun	36
bul	22
bua	47
cym	35
udm	26
azj	4
ben	28
bel	14
slv	15
deu	31
cat	22
slk	19
tat	17
sah	7
jpn	23
myv	14
khk	57
lbe	43
spa	22
tam	62
ava	59
enf	55
eng	56
lit	14
liv	39
nio	9
kan	28
kal	5
sqi	53
kat	58
lat	56
kaz	3
lav	63
mal	46
ckt	34
mrj	61
