süß::A
itl	18
ron	9
oss	52
ale	38
ita	9
nld	45
mnc	49
ell	35
hrv	13
ady	14
hin	34
fin	6
eus	8
smj	43
mns	47
kca	40
dan	15
ces	13
dar	42
nor	15
pbu	39
cmn	27
hye	14
kpv	36
ykg	12
mhr	5
bak	23
tel	27
mdf	7
olo	6
arb	20
sel	41
ess	31
abk	26
sms	3
pes	5
smn	3
ddo	24
kmr	5
sme	3
evn	26
sma	46
tur	5
rus	13
lez	5
ket	2
yux	11
ekk	6
vep	6
gld	17
gle	3
krl	6
isl	13
sjd	3
uzn	5
kat	44
por	9
pol	13
bre	9
koi	36
fra	9
yrk	37
che	29
swe	15
ukr	13
xal	4
chv	25
kor	27
heb	34
hun	14
bul	13
bua	1
cym	3
udm	36
azj	5
ben	34
bel	13
slv	13
deu	33
cat	9
ain	27
slk	13
tat	19
sah	3
jpn	17
myv	7
khk	50
lbe	22
tam	48
spa	9
ava	32
enf	53
eng	15
lit	13
liv	6
nio	3
kan	28
kal	10
sqi	16
bsk	21
lat	9
kaz	19
lav	13
niv	12
mal	51
ckt	4
mrj	6
