teilen::V
ron	11
oss	21
ale	18
ita	10
nld	2
mnc	30
ell	16
hrv	4
ady	27
nor	2
fin	6
eus	48
smj	23
mns	26
kca	1
dan	2
ces	4
dar	48
hin	17
pbu	31
cmn	29
hye	37
kpv	6
mhr	7
bak	3
tel	14
mdf	39
olo	6
arb	47
sel	34
ykg	40
abk	20
sms	33
pes	35
smn	23
ddo	5
kmr	21
sme	23
evn	1
sma	23
tur	41
rus	4
lez	7
ket	46
yux	1
ekk	6
vep	6
gld	3
gle	28
krl	6
isl	2
sjd	26
uzn	3
bsk	28
por	10
pol	4
bre	28
koi	25
fra	10
yrk	15
che	2
swe	2
ukr	4
xal	13
heb	3
kor	42
chv	7
hun	32
bul	4
bua	13
cym	28
udm	6
azj	3
ben	36
bel	4
slv	4
deu	2
cat	10
ain	20
slk	4
tat	3
sah	3
jpn	21
myv	39
khk	13
lbe	14
spa	1
tam	38
ava	5
enf	43
eng	10
lit	4
liv	6
nio	15
kan	8
kal	32
sqi	12
kat	2
lat	10
kaz	3
lav	4
mal	8
ckt	45
mrj	7
