unten::ADV
itl	3
ron	47
oss	11
ale	6
ita	35
nld	11
mnc	30
ell	19
hrv	1
ady	43
hin	28
fin	15
eus	21
kmr	24
mns	8
kca	8
dan	11
ces	1
nor	11
pbu	8
cmn	8
hye	26
evn	29
mhr	8
bak	18
tel	19
mdf	15
olo	15
arb	15
sel	8
ykg	15
abk	20
sms	22
pes	41
smn	22
ddo	15
smj	22
sme	22
sma	11
tur	32
kpv	8
rus	36
lez	32
ket	47
yux	15
ekk	15
vep	15
gld	29
gle	7
krl	15
isl	11
sjd	22
uzn	27
kat	40
por	20
pol	1
kaz	18
bre	13
koi	8
fra	20
yrk	2
che	17
swe	11
ukr	36
xal	34
heb	44
kor	38
chv	15
hun	15
bul	1
bua	1
cym	35
udm	8
azj	32
ben	28
bel	36
slv	35
deu	8
cat	20
ain	20
slk	1
tat	18
sah	15
jpn	31
myv	15
khk	34
lbe	4
spa	20
tam	17
ava	39
enf	2
eng	4
lit	24
liv	15
nio	12
kan	17
kal	10
sqi	27
bsk	42
lat	37
ess	31
lav	1
niv	22
mal	1
ckt	46
mrj	4
