unterrichten::V
ron	28
oss	53
mns	41
ita	29
nld	28
mnc	22
vep	6
hrv	9
ady	32
hin	37
fin	6
eus	58
smj	36
ale	49
kca	50
dan	28
ces	9
dar	26
nor	28
pbu	4
cmn	52
hye	23
kpv	19
mhr	8
bak	16
tel	33
mdf	31
olo	6
arb	44
sel	54
ykg	57
abk	15
sms	11
pes	4
smn	42
ddo	5
kmr	4
sme	36
evn	58
sma	36
tur	1
rus	43
lez	4
ket	14
yux	21
ekk	6
ell	24
gld	22
gle	8
krl	6
isl	34
sjd	11
uzn	1
kat	10
por	29
pol	2
bre	17
koi	19
fra	29
yrk	8
che	14
swe	28
ukr	19
xal	51
heb	11
kor	30
chv	39
hun	31
bul	43
bua	14
cym	47
udm	20
azj	1
ben	27
bel	19
slv	9
deu	28
cat	18
ain	7
slk	9
tat	16
sah	18
jpn	22
myv	31
khk	14
lbe	4
tam	12
spa	18
ava	35
enf	8
eng	29
lit	20
liv	6
nio	45
kan	38
kal	55
sqi	1
bsk	37
lat	29
kaz	16
lav	11
niv	56
mal	48
ckt	3
mrj	8
