verderben::V
itl	61
ron	18
oss	32
ale	12
ita	30
nld	19
mnc	58
vep	42
hrv	9
ady	23
hin	26
fin	10
eus	15
kmr	56
mns	41
kca	30
dan	28
ces	36
dar	60
nor	28
hye	25
pbu	26
cmn	37
kpv	27
evn	59
mhr	3
bak	7
tel	64
mdf	45
olo	18
arb	52
sel	18
ykg	13
abk	63
sms	22
pes	14
smn	22
ddo	39
smj	47
sme	22
sma	22
tur	7
rus	21
lez	35
ket	62
ekk	18
ell	40
gld	34
gle	4
krl	22
isl	47
sjd	55
uzn	64
bsk	51
por	31
pol	9
bre	2
koi	19
fra	11
yrk	3
che	28
swe	6
ukr	9
xal	31
chv	3
kor	17
heb	20
hun	49
bul	1
bua	30
cym	42
udm	43
azj	7
ben	50
bel	9
slv	9
deu	6
cat	47
ain	13
slk	36
tat	7
sah	24
jpn	46
myv	45
khk	57
lbe	14
spa	31
tam	5
ava	29
enf	3
eng	47
lit	30
liv	18
nio	22
kan	48
kal	54
sqi	3
kat	44
lat	11
kaz	19
lav	8
mal	16
ckt	33
mrj	3
