vereinigen::V
ron	7
oss	30
mns	18
ita	7
nld	11
mnc	16
ell	14
hrv	8
ady	5
hin	32
fin	12
eus	45
smj	1
ale	47
kca	42
dan	11
ces	23
dar	36
nor	11
hye	32
pbu	3
cmn	7
evn	17
kpv	2
ykg	49
mhr	12
bak	34
tel	2
mdf	52
olo	12
arb	1
sel	22
ess	29
abk	21
sms	1
pes	30
smn	24
ddo	50
kmr	30
sme	24
sma	1
tur	34
rus	8
lez	33
yux	37
ekk	19
vep	12
gle	7
krl	12
isl	8
sjd	48
uzn	9
por	7
pol	8
bre	7
koi	2
fra	7
yrk	15
che	11
swe	11
ukr	8
xal	40
heb	1
kor	51
chv	34
hun	31
bul	8
bua	48
cym	14
udm	46
azj	34
ben	30
bel	8
slv	4
deu	11
cat	7
ain	38
slk	23
tat	34
sah	16
jpn	6
myv	19
khk	48
lbe	44
spa	7
tam	27
ava	36
enf	15
eng	7
lit	13
liv	7
nio	15
kan	39
kal	35
sqi	25
kat	41
lat	18
kaz	10
lav	26
mal	20
ckt	43
mrj	12
