verfaulen::V
ron	17
oss	12
mns	30
ita	17
nld	4
mnc	45
vep	33
hrv	10
ady	9
hin	48
fin	13
eus	4
smj	7
ale	49
dan	4
ces	10
dar	21
nor	4
pbu	16
cmn	12
hye	43
kpv	35
mhr	39
bak	9
tel	10
mdf	3
olo	33
arb	35
sel	40
ykg	13
abk	55
sms	6
pes	37
smn	6
ddo	38
kmr	11
sme	7
evn	23
sma	7
tur	1
rus	10
lez	27
yux	5
ekk	13
ell	41
gle	8
krl	33
isl	4
sjd	6
uzn	1
kat	56
por	17
pol	10
bre	4
koi	35
fra	17
yrk	19
che	42
swe	4
ukr	10
xal	53
heb	24
kor	51
chv	9
hun	14
bul	10
bua	18
cym	17
udm	35
azj	1
ben	44
bel	10
slv	10
deu	12
cat	17
ain	23
slk	10
tat	1
sah	47
jpn	1
myv	3
khk	54
lbe	12
spa	17
tam	46
ava	17
enf	50
eng	34
lit	22
liv	13
nio	1
kan	52
sqi	36
bsk	31
lat	17
kaz	9
lav	41
mal	28
mrj	25
