verschieden::A
itl	9
ron	12
oss	61
mns	7
ita	12
nld	3
mnc	18
ell	12
hrv	9
ady	52
hin	42
fin	17
eus	12
kmr	44
ale	64
kca	7
dan	2
ces	9
dar	45
nor	2
hye	63
pbu	1
cmn	26
kpv	34
evn	38
ykg	60
mhr	16
bak	16
tel	25
mdf	58
olo	3
arb	1
sel	46
ess	59
abk	48
sms	7
pes	1
smn	3
ddo	30
smj	20
sme	17
sma	31
tur	24
rus	9
lez	43
ket	55
yux	50
ekk	17
vep	65
gld	10
gle	32
krl	17
isl	51
sjd	41
uzn	16
por	28
pol	9
bre	16
koi	34
fra	12
yrk	24
che	11
swe	2
ukr	9
xal	57
chv	9
kor	24
heb	66
hun	54
bul	9
bua	14
cym	56
udm	47
azj	16
ben	27
bel	9
slv	9
deu	12
cat	12
ain	39
slk	9
tat	16
sah	7
jpn	49
myv	17
khk	21
lbe	37
tam	25
spa	12
ava	30
enf	53
eng	12
lit	7
liv	12
nio	40
kan	17
kal	23
sqi	29
kat	62
lat	7
kaz	16
lav	19
mal	6
ckt	4
mrj	16
