vor::PRP
itl	13
ron	22
oss	11
mns	35
ita	4
nld	2
mnc	45
vep	6
hrv	1
ady	1
nor	2
fin	6
eus	2
kmr	37
kca	34
dan	5
ces	1
dar	25
hin	19
pbu	15
cmn	17
hye	15
evn	40
ykg	19
mhr	43
bak	7
tel	8
mdf	21
olo	6
arb	30
sel	47
ess	23
abk	1
sms	31
pes	24
smn	31
ddo	6
smj	16
sme	31
sma	31
tur	3
kpv	11
rus	1
lez	28
ket	44
yux	19
ekk	6
ell	42
gld	16
gle	39
krl	6
isl	2
sjd	32
uzn	2
por	22
pol	1
bre	46
koi	6
fra	4
yrk	36
che	41
swe	5
ukr	1
xal	12
chv	3
kor	1
heb	29
hun	10
bul	1
bua	12
cym	16
udm	11
azj	3
ben	20
bel	1
slv	1
deu	2
cat	27
ain	11
slk	1
tat	7
sah	21
jpn	33
myv	21
khk	15
lbe	38
spa	22
tam	29
ava	19
enf	2
eng	27
lit	18
liv	6
nio	36
kan	8
sqi	1
kat	11
lat	3
kaz	7
lav	18
mal	29
ckt	26
mrj	11
