wachsen::V
itl	35
ron	9
oss	17
ale	1
ita	9
nld	17
mnc	29
ell	10
hrv	1
ady	19
ess	51
nor	15
fin	25
eus	1
smj	18
mns	42
kca	22
dan	17
ces	1
dar	13
hin	40
hye	57
pbu	6
cmn	52
evn	47
kpv	12
mhr	28
bak	27
tel	41
mdf	25
olo	25
arb	22
sel	3
ykg	54
abk	36
sms	18
pes	45
smn	18
ddo	13
kmr	43
sme	55
sma	18
tur	30
rus	1
lez	19
ket	11
yux	40
ekk	25
vep	25
gld	21
gle	38
krl	25
isl	15
sjd	18
uzn	31
kat	2
por	9
pol	14
bre	9
koi	12
fra	50
yrk	49
che	19
swe	15
ukr	1
xal	53
chv	8
kor	20
heb	25
hun	59
bul	1
bua	53
cym	58
udm	12
azj	30
ben	48
bel	1
slv	1
deu	15
cat	9
ain	39
slk	1
tat	8
sah	33
jpn	44
myv	25
khk	53
lbe	7
spa	9
tam	5
ava	37
enf	4
eng	17
lit	26
liv	25
nio	56
kan	13
kal	51
sqi	16
bsk	46
lat	9
kaz	8
lav	26
niv	34
mal	5
ckt	39
mrj	28
