wegen::PRP
ron	15
oss	8
mns	46
ita	2
nld	16
mnc	53
ell	49
hrv	21
ady	6
nor	24
fin	19
eus	43
smj	8
kca	9
dan	24
ces	15
dar	24
hin	38
pbu	41
cmn	13
hye	1
kpv	16
mhr	25
bak	14
tel	38
mdf	10
olo	15
arb	14
sel	45
ykg	40
abk	13
sms	8
pes	15
smn	8
ddo	20
kmr	11
sme	50
evn	5
sma	8
tur	20
rus	13
lez	20
ket	29
ekk	8
vep	29
gle	52
krl	17
isl	16
sjd	34
uzn	14
por	15
pol	39
bre	44
koi	24
fra	2
yrk	10
che	8
swe	24
ukr	23
xal	37
chv	15
kor	36
heb	27
hun	48
bul	21
bua	1
cym	33
udm	7
azj	51
ben	5
bel	13
slv	21
deu	16
cat	2
ain	26
slk	15
tat	14
sah	9
jpn	36
myv	37
khk	23
lbe	36
spa	2
tam	7
ava	28
enf	36
eng	2
lit	20
liv	3
nio	10
kan	35
sqi	15
kat	29
lat	15
kaz	54
lav	15
mal	30
ckt	33
mrj	48
