weggehen::V
itl	24
ron	46
oss	39
ale	41
ita	2
nld	21
mnc	36
vep	29
hrv	4
ady	39
nor	38
fin	6
eus	35
kmr	39
mns	59
kca	20
dan	38
ces	4
dar	14
hin	56
pbu	16
cmn	4
hye	16
evn	40
mhr	9
bak	20
tel	49
mdf	14
olo	6
arb	62
sel	54
ykg	44
abk	52
sms	29
pes	51
smn	13
ddo	29
smj	22
sme	13
sma	13
tur	19
kpv	12
rus	1
lez	32
ket	17
yux	44
ekk	8
ell	27
gld	2
gle	5
krl	6
isl	48
sjd	1
uzn	20
kat	4
por	28
pol	4
bre	12
koi	12
fra	61
yrk	42
che	29
swe	38
ukr	20
xal	27
heb	53
kor	29
chv	44
hun	4
bul	4
bua	45
cym	25
udm	63
azj	19
ben	3
bel	3
slv	4
deu	21
cat	2
ain	15
slk	4
tat	20
sah	23
jpn	31
myv	14
khk	27
lbe	37
tam	30
spa	28
ava	1
enf	9
eng	44
lit	50
liv	34
nio	29
kan	26
kal	57
sqi	6
bsk	33
lat	28
kaz	20
lav	55
mal	29
ckt	10
mrj	9
