wer::FPRN
itl	1
ron	1
oss	10
mns	1
ita	1
nld	7
mnc	11
ell	17
hrv	9
ady	9
nor	7
fin	9
eus	22
smj	9
ale	1
kca	1
dan	7
ces	9
dar	10
hin	1
pbu	10
cmn	20
hye	11
evn	1
ykg	1
mhr	1
bak	1
tel	3
mdf	1
olo	1
arb	1
sel	9
ess	1
abk	12
sms	9
pes	1
smn	1
ddo	25
kmr	1
sme	9
sma	1
tur	1
kpv	9
rus	9
lez	11
ket	15
yux	1
ekk	1
vep	1
gld	1
gle	1
krl	1
isl	1
sjd	1
uzn	1
kat	1
por	1
pol	9
bre	4
koi	1
fra	1
yrk	19
che	8
swe	7
ukr	9
xal	1
chv	1
kor	23
heb	8
hun	1
bul	1
bua	18
cym	4
udm	1
azj	1
ben	1
bel	9
slv	9
deu	26
cat	1
ain	16
slk	9
tat	1
sah	1
jpn	24
myv	1
khk	18
lbe	6
spa	1
tam	2
ava	20
enf	20
eng	14
lit	1
liv	1
nio	8
kan	2
kal	9
sqi	1
bsk	1
lat	1
kaz	1
lav	1
niv	18
mal	12
ckt	1
mrj	1
