werfen::V
itl	56
ron	4
oss	13
mns	4
ita	27
nld	12
mnc	46
ell	32
hrv	2
ady	13
nor	7
fin	1
eus	20
smj	23
ale	31
kca	1
dan	7
ces	11
dar	47
hin	21
hye	57
pbu	22
cmn	51
evn	55
kpv	30
ykg	38
mhr	16
bak	39
tel	1
mdf	29
olo	1
arb	52
sel	19
ess	36
abk	42
sms	34
pes	53
smn	25
ddo	19
kmr	13
sme	45
sma	9
tur	33
rus	1
lez	4
ket	24
yux	24
ekk	1
vep	19
gld	28
gle	14
krl	11
isl	7
sjd	45
uzn	10
bsk	1
por	6
pol	27
bre	18
koi	30
fra	6
yrk	9
che	7
swe	7
ukr	48
xal	12
chv	19
kor	8
heb	54
hun	3
bul	44
bua	34
cym	50
udm	19
azj	33
ben	19
bel	48
slv	5
deu	13
cat	6
ain	15
slk	11
tat	39
sah	19
jpn	28
myv	29
khk	34
lbe	5
spa	6
tam	1
ava	37
enf	35
eng	49
lit	1
liv	1
nio	40
kan	6
kal	19
sqi	11
kat	1
lat	15
kaz	43
lav	1
mal	4
ckt	32
mrj	16
