wünschen::V
ron	41
oss	20
mns	49
ita	31
nld	17
mnc	52
ell	21
hrv	8
ady	25
hin	48
fin	2
eus	54
smj	29
ale	37
dan	17
ces	11
nor	17
pbu	14
cmn	24
hye	42
kpv	15
mhr	39
bak	30
tel	28
mdf	22
olo	2
arb	39
ykg	51
sms	2
pes	46
smn	2
kmr	23
sme	2
evn	9
sma	27
tur	50
rus	8
lez	38
yux	44
ekk	29
vep	2
gld	32
gle	33
krl	2
isl	17
sjd	2
uzn	16
kat	12
por	1
pol	8
bre	7
koi	19
fra	29
yrk	26
che	34
swe	17
ukr	8
xal	3
chv	13
kor	53
heb	42
hun	56
bul	8
bua	3
cym	39
udm	15
azj	50
ben	40
bel	8
slv	35
deu	19
cat	1
ain	5
slk	8
tat	30
sah	6
jpn	47
myv	22
khk	57
tam	18
spa	1
ava	10
enf	45
eng	19
lit	36
liv	34
nio	45
kan	4
kal	55
sqi	41
bsk	23
kaz	30
lav	8
mal	43
mrj	8
