zehn::NUM
itl	3
ron	14
oss	3
mns	17
ita	14
nld	2
mnc	8
vep	10
hrv	3
ady	5
hin	3
fin	10
eus	7
smj	17
ale	7
kca	11
dan	2
ces	3
dar	16
nor	2
pbu	3
cmn	5
hye	3
evn	8
ykg	12
mhr	20
bak	8
tel	1
mdf	10
olo	10
arb	21
sel	22
ess	13
abk	18
sms	17
pes	3
smn	17
ddo	2
kmr	3
sme	17
sma	17
tur	8
kpv	3
rus	3
lez	4
ket	23
yux	12
ekk	10
ell	3
gld	8
gle	3
krl	10
isl	2
sjd	17
uzn	8
bsk	9
por	3
pol	8
bre	3
koi	3
fra	3
yrk	11
che	25
swe	2
ukr	3
xal	6
chv	8
kor	11
heb	21
hun	2
bul	3
bua	6
cym	3
udm	3
azj	8
ben	3
bel	3
slv	3
deu	2
cat	3
ain	8
slk	3
tat	8
sah	8
jpn	2
myv	10
khk	6
lbe	6
tam	1
spa	3
ava	15
enf	19
eng	2
lit	3
liv	10
nio	19
kan	7
kal	13
sqi	3
kat	2
lat	3
kaz	8
lav	3
niv	24
mal	1
ckt	25
mrj	20
