ärgern::V
ron	42
oss	55
mns	4
ita	16
nld	6
mnc	56
ell	34
hrv	8
ady	59
hin	20
fin	9
eus	7
smj	16
ale	38
kca	8
dan	6
ces	36
dar	30
nor	6
pbu	45
cmn	20
hye	43
kpv	8
mhr	1
bak	10
tel	5
mdf	33
olo	12
arb	3
sel	61
ykg	24
abk	6
sms	32
pes	35
smn	18
ddo	47
kmr	19
sme	7
evn	58
sma	35
tur	28
rus	16
lez	37
yux	46
ekk	52
vep	21
gld	44
gle	9
krl	10
isl	8
sjd	10
uzn	54
por	53
pol	17
bre	32
koi	8
fra	32
yrk	11
che	26
swe	6
ukr	16
xal	22
chv	10
kor	14
heb	50
hun	57
bul	2
bua	22
cym	51
udm	48
azj	28
ben	62
bel	31
slv	9
deu	6
cat	25
ain	39
slk	31
tat	10
sah	36
jpn	53
myv	33
khk	22
lbe	27
tam	5
spa	10
ava	15
enf	1
eng	49
lit	8
liv	6
nio	47
kan	7
kal	29
sqi	40
kat	60
lat	9
kaz	10
lav	34
mal	13
ckt	41
mrj	23
