language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
SWEDISH	swe	foot	1301	foot	fut	foot:B	foot:B	
DANISH	dan	foot	1301	foot	fo"8	foot:B	foot:B	
GUTNISH_LAU		foot	1301	foot	bain	foot:M	foot:M	
OSSETIC_IRON	oss	foot	1301	foot	kaG	foot:K	foot:K	
BIHARI	mai	foot	1301	foot	piaer	foot:B	foot:B	
DUTCH	nld	foot	1301	foot	vut	foot:B	foot:B	
MARATHI	mar	foot	1301	foot	pay	foot:B	foot:B	
SORBIAN_UPPER	hsb	foot	1301	foot	noha	foot:G	foot:G	
ORIYA	ori	foot	1301	foot	pado	foot:B	foot:B	
SLOVENIAN	slv	foot	1301	foot	noga	foot:G	foot:G	
BELARUSIAN	bel	foot	1301	foot	naxa	foot:G	foot:G	
ANCIENT_GREEK	grc	foot	1301	foot	pus	foot:B	foot:B	
GREEK	ell	foot	1301	foot	po8i	foot:B	foot:B	
OLD_SWEDISH		foot	1301	foot	foter	foot:B	foot:B	
ICELANDIC	isl	foot	1301	foot	fouth~ir	foot:B	foot:B	
SLOVAK	slk	foot	1301	foot	noha	foot:G	foot:G	
ENGLISH	eng	foot	1301	foot	fut	foot:B	foot:B	
BRETON	bre	foot	1301	foot	trwat	foot:D	foot:D	
ITALIAN	ita	foot	1301	foot	pyEde	foot:B	foot:B	
ELFDALIAN	qov	foot	1301	foot	f33t	foot:B	foot:B	
FAROESE	fao	foot	1301	foot	foutur	foot:B	foot:B	
UKRAINIAN	ukr	foot	1301	foot	noha	foot:G	foot:G	
CZECH	ces	foot	1301	foot	noha	foot:G	foot:G	
STAVANGERSK		foot	1301	foot	fud	foot:B	foot:B	
NORWEGIAN_RIKSMAL	nor	foot	1301	foot	fut	foot:B	foot:B	
OLD_NORSE	non	foot	1301	foot	fotr	foot:B	foot:B	
SPANISH	spa	foot	1301	foot	pye	foot:B	foot:B	
OLD_CHURCH_SLAVONIC	chu	foot	1301	foot	noga	foot:G	foot:G	
PORTUGUESE	por	foot	1301	foot	pE	foot:B	foot:B	
OLD_IRISH	sga	foot	1301	foot	kos	foot:I	foot:I	
IRISH	gle	foot	1301	foot	kos	foot:I	foot:I	
MIDDLE_BRETON		foot	1301	foot	troat	foot:D	foot:D	
GERMAN	deu	foot	1301	foot	fus	foot:B	foot:B	
DANISH_FJOLDE		foot	1301	foot	fuo8	foot:B	foot:B	
OSSETIC	oss	foot	1301	foot	fad	foot:B	foot:B	
MACEDONIAN	mkd	foot	1301	foot	noga	foot:G	foot:G	
LATIN	lat	foot	1301	foot	pes	foot:B	foot:B	
FRENCH	fra	foot	1301	foot	pye	foot:B	foot:B	
URDU	urd	foot	1301	foot	pa	foot:B	foot:B	
POLISH	pol	foot	1301	foot	noga	foot:G	foot:G	
FRISIAN	frs	foot	1301	foot	fu3t	foot:B	foot:B	
BULGARIAN	bul	foot	1301	foot	krak	foot:E	foot:E	
CLASSICAL_ARMENIAN	xcl	foot	1301	foot	otn	foot:B	foot:B	
ARMENIAN_EASTERN	hye	foot	1301	foot	votkh~	foot:B	foot:B	
SORBIAN_LOWER	dsb	foot	1301	foot	noga	foot:G	foot:G	
CATALAN	cat	foot	1301	foot	pEuw	foot:B	foot:B	
SERBO-CROATIAN	srp	foot	1301	foot	noga	foot:G	foot:G	
RUSSIAN	rus	foot	1301	foot	noga	foot:G	foot:G	
OSSETIC_DIGOR	oss	foot	1301	foot	kaG	foot:K	foot:K	
MIDDLE_CORNISH	cor	foot	1301	foot	troz	foot:D	foot:D	
SWEDISH	swe	road	667	road	vEg	road:B	road:B	
DANISH	dan	road	667	road	vay"	road:B	road:B	
GUTNISH_LAU		road	667	road	vEg	road:B	road:B	
OSSETIC_IRON	oss	road	667	road	fandag	road:J	road:J	
BIHARI	mai	road	667	road	s3r3k	road:G	road:G	
DUTCH	nld	road	667	road	wEG	road:B	road:B	
MARATHI	mar	road	667	road	r3sta	road:Y	road:Y	
SORBIAN_UPPER	hsb	road	667	road	putS	road:J	road:J	
ORIYA	ori	road	667	road	rasta	road:Y	road:Y	
SLOVENIAN	slv	road	667	road	pot	road:J	road:J	
BELARUSIAN	bel	road	667	road	daroxa	road:K	road:K	
ANCIENT_GREEK	grc	road	667	road	hodos	road:Ad	road:Ad	
GREEK	ell	road	667	road	8romos	road:N	road:N	
OLD_SWEDISH		road	667	road	vExer	road:B	road:B	
ICELANDIC	isl	road	667	road	vExir	road:B	road:B	
